Group,Sample_ID,Sr,Ce,Nd,Hf
KAUAI,65GRO-3,0.703818,-0.51,5.15,9.357922096
KAUAI,76POH-2,0.703589,-0.988,7.22,11.26332726
KAUAI,86KA-21,0.703742,-0.85,5.93,10.51144863
NIIHAU,75NII-61 ,0.703623,-0.775,6.32,10.4673
NIIHAU,75NII-65 ,0.703468,-0.758,7.94,11.9525
NIIHAU,T322-R13,0.703642,-0.997,6.94,11.0706
OAHU - KOOLAU - KSDP,U1,0.703841,-0.451,4.486666797,8.168750111
OAHU - KOOLAU - KSDP,U9,0.70386,-0.722,4.408637809,7.673674346
OAHU - KOOLAU - KSDP,U27,0.703806,-0.678,5.442521897,9.158901639
OAHU - KOOLAU - KSDP,U41,0.703614,-0.601,6.57394222,10.53804127
OAHU - KOOLAU - KSDP,U57,0.703653,-0.951,6.008232058,9.830790176
OAHU - KOOLAU - KSDP,U68,0.703859,-0.547,4.954840723,8.62846332
OAHU - KOOLAU - MAKAPUU,KM5,0.704096,-0.673,2.098589626,5.976271726
OAHU - KOOLAU - MAKAPUU,KM9,0.704316,-0.163,-0.214579716,4.416783068
OAHU - KOOLAU - MAKAPUU,KM10,0.704367,-0.175,-0.721768137,3.928779815
OAHU - KOOLAU - MAKAPUU,KM11,0.704039,-0.599,3.140666758,7.178686988
OAHU - KOOLAU - MAKAPUU,KM14,0.704136,-0.476,2.028753682,6.096239192
OAHU - KOOLAU - MAKAPUU,KM16,0.704478,0.005,-1.111913076,3.606980568
HAWAII - KILAUEA,BHVO-2,0.703478,-0.692,6.828,11.175
KAHOOLAWE,KAH 14,0.704226,-0.608180361,3.686869672,7.638311792
KAHOOLAWE,KAH 181,0.704139,-0.629594875,4.330608821,7.673674346
HAWAII - MAUNA KEA high CaO,R684-9.0-9.2,0.703041,-1.208986556,9.500029261,16.79721343
HAWAII - MAUNA KEA high CaO,R687-8.5-8.8,0.70315,-0.998772157,8.349101691,15.8070619
HAWAII - MAUNA KEA high CaO,R698-2.6-2.7,0.703178,-0.929672593,8.095507481,14.92299804
