SAMPLE_ID,Rb,Sr,La,Ce,Sm,Nd,Lu,Hf,U,Th,Pb
DY0105-017-007,1.564,170.9,3.438,7.442,1.128,4.604,0.164,0.592,0.049,0.235,0.709
DY0105-017-009,1.29,183,4.52,10,2.31,7.75,0.293,0.762,0.046,0.133,0.484
DY0105-017-008,1.16,173,3.46,7.46,1.29,4.86,0.17,0.335,0.052,0.222,0.171
DY0105-017-010,1.49,165,3.95,8.92,2.05,6.62,0.265,0.616,0.069,0.128,0.486
KAK810626-063-J07,44.1,183,0.36,0.81,0.18,0.58,0.04,0.22,0.06,0.06,0.58
KAK810626-063-J22,10.8,173,0.37,0.66,0.11,0.39,0.03,0.15,0.05,0.05,0.4
KAK810626-063-J19,3.9,259,0.74,1.56,0.27,0.94,0.06,0.52,0.11,0.12,0.36
KAK810626-063-J35,7.4,195,0.21,0.39,0.07,0.25,0.02,0.1,0.02,0.03,0.43
MATCOL-MR37,45,347,5.91,13.3,1.64,4.8,0.13,0.7,0.54,0.9,4.2
MATCOL-MR86,30,464,5.11,11.2,1.4,4.3,0.15,0.64,0.52,0.7,4.7
MATCOL-MR38,36,354,6.99,15.6,1.93,7.7,0.21,1.07,0.63,1,4.1
ODP0149-0900A-082R-004/064-069,7.96,424,0.75,1.52,0.62,1.5,0.08,0.22,0.08,0.01,0.19
ODP0149-0900A-083R-003/010-015,10.37,233,0.72,1.39,0.43,1.12,0.05,0.17,0.2,0.02,0.72
ODP0149-0900A-085R-001/026-030,2.35,239,0.88,1.82,0.78,1.84,0.1,0.32,0.08,0.02,0.27
ODP0149-0900A-085R-001/030-036,1.25,191,0.76,1.66,0.81,1.96,0.11,0.34,0.02,0.02,0.21
ODP0149-0900A-085R-002/002-007,3.89,282,0.87,1.7,0.68,1.63,0.08,0.26,0.05,0.01,0.23
ODP0149-0900A-085R-005/088-093,2.39,259,0.96,2.18,0.92,2.19,0.12,0.41,0.09,0.02,0.38
ODP0149-0900A-086R-001/051-055,5.26,360,0.93,2.05,0.97,2.25,0.13,0.38,0.05,0.01,0.12
ODP0176-0735B-091R-003/090-095,0.72,237.9,0.56,1.39,0.43,1.31,0.06,0.199,0.385,0.007,0.31
ODP0176-0735B-091R-003/100-105,3.23,196,0.71,1.86,0.54,1.7,0.08,0.258,0.433,0.012,0.4
ODP0176-0735B-091R-003/125-130,0.2,166.5,0.52,1.55,0.49,1.45,0.07,0.253,0.038,0.008,0.218
ODP0176-0735B-093R-001/075-081,0.31,193.3,1.7,5.37,1.69,4.99,0.22,1.104,0.029,0.042,0.348
ODP0176-0735B-093R-00I/086-091,0.41,154.4,1.21,4.27,1.78,4.65,0.24,1.023,0.244,0.022,0.308
ODP0176-0735B-102R-003/001-008,0.77,136.1,0.74,2.73,1.48,3.5,0.21,0.714,0.103,0.017,0.352
ODP0176-0735B-102R-003/008-014,0.9,209.7,0.86,2.72,0.98,2.69,0.14,0.603,0.166,0.022,0.31
ODP0176-0735B-103R-002/120-125,0.27,217,2.27,6.51,1.59,4.99,0.22,0.88,0.034,0.085,0.613
ODP0176-0735B-103R-002/139-142,0.39,136,0.95,3.28,1.74,4.11,0.25,0.876,0.226,0.019,0.312
ODP0176-0735B-103R-004/018-022,0.41,159.2,0.96,2.93,1.05,2.79,0.16,0.538,0.218,0.04,0.369
ODP0176-0735B-103R-004/036-045,0.8,151.3,0.72,2.42,1.1,2.77,0.16,0.633,0.014,0.02,0.587
ODP0176-0735B-127R-005/012-020,0.22,185.3,0.57,1.78,0.75,1.93,0.11,0.375,0.015,0.01,0.193
ODP0176-0735B-127R-005/022-028,0.3,198.4,0.98,2.65,0.97,2.6,0.14,0.536,0.014,0.022,0.224
ODP0176-0735B-132R-001/094-099,0.26,127.9,1.08,3.97,1.89,4.68,0.28,1.023,0.01,0.03,0.558
ODP0176-0735B-132R-008/103-109,0.23,156,0.97,3.17,1.24,3.28,0.18,0.803,0.014,0.035,0.892
ODP0176-0735B-132R-008/112-118,0.13,155.3,1.11,3.88,1.62,4.25,0.24,0.988,0.009,0.023,0.299
ODP0176-0735B-132R-00I/070-078,0.24,139.6,1.51,4.82,1.53,4.37,0.21,1.102,0.019,0.046,1.348
ODP0176-0735B-150R-003/065-069,0.15,150.3,0.38,1.45,0.92,1.98,0.15,0.393,0.002,0.005,0.185
ODP0176-0735B-150R-003/077-083,0.07,160.1,0.45,1.67,0.91,2.08,0.14,0.419,0.002,0.006,0.159
ODP0176-0735B-168R-003/010-015,0.13,146.3,0.49,1.85,0.99,2.27,0.15,0.469,0.004,0.01,0.313
ODP0176-0735B-168R-003/071-076,0.82,212.9,0.58,1.66,0.52,1.49,0.07,0.245,0.007,0.01,0.258
ODP0176-0735B-168R-007/007-013,0.12,177.6,0.54,1.9,1.01,2.32,0.15,0.467,0.005,0.011,0.179
ODP0176-0735B-168R-007/036-041,0.1,142,0.58,2.19,1.13,2.69,0.17,0.567,0.005,0.012,0.184
ODP0176-0735B-173R-004/094-100,0.14,164.3,0.87,3.1,1.4,3.43,0.21,0.82,0.005,0.013,0.277
