Segment_Name,Nd143,La_Sm_N,Rb,Sr,La,Ce,Sm,Nd,Lu,Hf,U,Th,Pb
MARR52,0.513169,0.338902876,0.440096449,80.0244927,1.296198726,4.921148238,2.472327632,5.965739586,0.468736487,1.70075075,0,0.043106961,0.169608364
MARR39,0.513152282,0.348513179,0.62875,68.005,1.205,4.7475,2.235,5.5175,0.478,1.435,0.045,0.07375,0.18175
MARR40,0.513161,0.368547211,0.533333333,63.72428571,1.085714286,3.882857143,1.904285714,4.612857143,0.424285714,1.347142857,0.0274,0.056666667,0.24
MARR50,0.513157,0.378365323,0.276,72.14225,1.512045,5.6573025,2.58323,6.6116775,0.52129975,1.8133625,0.0187194,0.05933835,0.301
CIRR27a,0.513156,0.399432583,0.405,100.8,1.255,4.57675,2.031,5.09975,0.3205,1.5095,0.017,0.04525,0.17925
SWIR41d,0.512960809,0.40313265,0.61,78.91,1.7275,6.1545,2.77,6.871,0.487,1.98,0.031,0.09,0.266
MARR41,0.5131578,0.41377712,0.616461538,69.62124138,1.427275862,4.949344828,2.229724138,5.689344828,0.469,1.500172414,0.029928571,0.077357143,0.216541667
MARR114b,0.513141462,0.41804763,0.55,81.9211,1.500126667,5.295926667,2.319593333,6.01195,0.4125,1.63133,0.022632433,0.0641444,0.2734405
CHIL26,0.513183233,0.439995002,1.35,128.3333333,1.89,7.18,2.776666667,7.943333333,0.485,2.28,0.023,0.143666667,0.352
BLAU4,0.513101233,0.449965156,0.820363636,84.37272727,2.107272727,7.261818182,3.027272727,7.588181818,0.540909091,2.048,0.070363636,0.098036364,0.441636364
MARR43,0.513164,0.466480122,0.875714286,70.364125,1.57075,5.1505,2.176625,5.547625,0.450625,1.591,0.043,0.0905,0.263875
MARR38,0.513132223,0.471152708,0.9711,67.93636364,1.5525,5.322727273,2.13,5.52,0.431636364,1.360909091,0.04625,0.1011,0.273636364
MARR46,0.513188,0.474974641,0.699285714,68.50821429,1.5164,4.801038462,2.063730769,5.226538462,0.430125,1.587037037,0.038,0.074230769,0.2348
GALA3,0.513082186,0.478577826,0.91,85.44,2.304,8.072,3.112,8.22,0.489,1.868,0.036666667,0.0784,0.35675
AFAR3,0.513106,0.480499892,0.37,78.7,2.23,7.12,3,7.72,0.499,1.63,0.012,0.058,0.209
BLAU7,0.513073196,0.480794319,1.24935,90.57023409,1.598184091,5.410175,2.148706818,5.800088636,0.431604545,1.461231818,0.030168182,0.079734091,0.451272727
MARR194,0.513082117,0.49148063,0.539844667,111.379,2.690206667,10.05085667,3.538253333,9.850566667,0.529676333,2.46342,0.0309766,0.0713605,0.365686333
MARR110b,0.513171,0.493766832,0.446666667,110.77525,1.882152,6.309384,2.46401,6.7199175,0.443907,1.7635275,0.02578822,0.069244125,0.289666667
EPRR64,0.513178688,0.497448657,0.552,101.6375,2.755,10.13583333,3.58,9.81,0.574333333,2.541666667,0.047,0.184111111,0.380333333
CHIL9,0.513179,0.498604695,0.474,100.5,2.53,9,3.28,9.41,0.475,2.55,0.034,0.0755,0.41
MARR111b,0.513203,0.499803411,0.48,106.79,2.25,7.54,2.91,7.89,0.47,2.11,0.03,0.08,0.45
BLAU6,0.513003,0.502007805,0.99235,82.72155,1.579675,5.14535,2.034075,5.495925,0.385675,1.36075,0.026725,0.0824,0.4405
