Reference,Type,Location,Nd,Sm,Lu,Hf,Ce,La,Sr,Rb,U,Th,Pb,p_filter
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",GLOSS,,27,5.78,0.413,4.06,57.3,28.8,327,57.2,1.68,6.91,19.9,0.013924712
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",REE rich sediments,Tonga,158.2,34.86,2.58,3.51,196.18,134.47,233,39.5,1.428,9.89,113.3,0.01615088
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",REE rich sediments,Kerm,69.53,15.3,1.117,3.62,97.78,61.2,222,55.6,2.397,7.78,49.8,0.02899307
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",REE rich sediments,Philip,50.89,11.12,0.975,2.42,60.77,45.8,585,27.4,0.85,3.94,48.05,0.038530017
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",REE rich sediments,Ryuku,189.09,42.08,3.018,4.49,236.29,156.76,217,79.2,2.01,11.58,56.53,0.042635601
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",SiO2 rich sediments,Izu-Bon,28.74,6.35,0.415,0.88,31.35,27.26,110,25.1,1.19,2.43,6.82,0.050923849
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",SiO2 rich sediments,Kamchat,14.1,3.6,0.287,0.86,16.88,14.39,38,25.7,0.71,2.23,10.11,0.05740645
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",SiO2 rich sediments,SSand,10.42,2.34,0.228,2.37,24.05,9.72,115,68.8,1.16,4.86,22.49,0.068448507
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",Ca-rich sediments,Centam,12.23,2.87,0.278,0.84,10.62,15.75,1227,15.6,1.37,0.93,7.36,0.074252005
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",Ca-rich sediments,Colomb,13.93,3.24,0.35,1.24,6.59,18.01,807,2.8,0.62,0.38,0.89,0.079557835
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",Ca-rich sediments,Peru,16.96,3.79,0.351,1.69,21.85,19.26,830,25,2.37,2.89,26.79,0.091073267
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",other sediments,Mexico,38.71,8.75,0.602,3.77,87.07,42.42,234,49.4,3.01,8.64,106.34,0.110156986
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",other sediments,Aleut,19.07,4.43,0.338,3.26,39.03,17.96,245,57,2.39,5.49,12.91,0.126779652
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",other sediments,E.Sunda,25.44,5.71,0.386,3.33,74.53,29.8,405,63.3,0.991,7.73,20.6,0.14335042
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",other sediments,Vanuatu,15.3,3.56,0.383,2.98,24.67,11.31,359,22.6,0.436,1.44,9,0.156017862
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",other sediments,Java,33.95,7.06,0.479,4.73,86.08,39.08,218,82.1,1.471,9.78,25.5,0.172309909
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",other sediments,Sumatra,28.36,5.24,0.322,6.18,67,31.15,251,82.6,2.26,10.28,24.5,0.183608942
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",other sediments,Andaman,24.2,4.36,0.282,6.31,60.19,27.95,338,45.1,2.3,7.56,17.78,0.194640296
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",other sediments,Makran,33.95,7.83,0.547,4.56,81.68,40.27,422,84.4,1.25,10.31,27.69,0.212517495
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",other sediments,Nankai,30.89,5.62,0.25,4.29,74.85,34.7,165,140.9,0.99,14.2,33.37,0.218757664
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",other sediments,Mar (801),20.77,4.43,0.283,2.44,29.38,18.78,140,31.3,0.51,2.58,6.6,0.2363801
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",other sediments,Mar (800),21.28,4.81,0.253,1.36,33.71,22.78,183,29.4,0.66,2.66,5.41,0.244063628
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",other sediments,Marianas,21.03,4.62,0.268,1.9,31.54,20.78,161,30.3,0.58,2.62,6,0.256697714
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",other sediments,Japan,22.03,5.5,0.432,2.1,50.11,21.94,87,59.9,1.39,6.22,23.68,0.267446332
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",other sediments,Kurile,22.03,5.5,0.432,2.1,50.11,21.94,87,59.9,1.39,6.22,23.68,0.280152827
"Plank and Langmuir, 1998,  Bulk composition of subducted sediment columns",other sediments,Alaska,18.56,4.05,0.333,2.84,38.88,17.71,289,46.4,1.69,4.38,10.08,0.298370895
