,Group,Distance,Age_shield,Sample_Name,Sr,Nd,Hf,Sr_m,Nd_m,Hf_m,X_OC,X_SED,X_RC,Fd,P0,F_per,F_tot,dT_RC,Tp,d_rho_RC,d_rho_per,d_rho_c,d_rho_T,d_rho,v_p,Q_p,Q_v
0,HAWAII - KILAUEA,0,0.15,BHVO-2,0.703478,6.808029183,10.50267871,0.7034779835590128,6.68295200434939,10.596518094521516,0.027259039245464738,0.0016422858129919113,0.029415250352408256,0.018386144520661615,3.696985090919291,0.01011126120261735,0.02962638114045133,8.943170276639247,1492.1513599476762,5.294745063433486,-3.8278193117244355,1.4669257517090504,-14.07298463481994,-12.60605888311089,23.608226707859945,115.16098017260698,3.882396620908733
1,HAWAII - KILAUEA,0,0.15,s_KL-01-KWWS-92 [1496] / s_KL-01 [2661],0.70359,6.261826268,11.66964302,0.7035899995082746,6.262038568335479,11.66958620516473,0.040932387179897396,0.004154027782068494,0.047233990530378744,0.007255456692848996,4.306288190986492,0.022545658695342127,0.05152484684052155,13.658825621045352,1536.682421000063,8.502118295468174,-1.482785415566897,7.019332879901277,-18.481559679006235,-11.462226799104958,21.466094309040624,104.71165376786692,6.139424601814936
2,HAWAII - KILAUEA,0,0.15,s_HW2 [7966],0.703582,6.57394222,11.22266032,0.7035819992188559,6.5738067377256595,11.223338773002718,0.032904115485683956,0.00280201784163369,0.03640684048694748,0.012698527544602317,4.032667840936913,0.015154057328731601,0.03858694133010521,10.180668463347956,1518.9406856134035,6.553231287650546,-2.624667962602444,3.9285633250481022,-16.725127875726947,-12.796564550678845,23.964999671621214,116.90131944985372,5.1330525419231705
3,HAWAII - KILAUEA,0,0.15,s_1960 [224],0.70358,7.646840801,12.16471878,0.7035799647434533,7.58945747278921,12.168360671535972,0.027550262526148166,0.001860166108017433,0.030083142206816287,0.016811505438994845,3.8410813696732977,0.012593799526023085,0.030941347271618746,8.294802917969829,1505.7077891681856,5.4149655972269315,-3.4975860627199413,1.9173795345069902,-15.415071127650378,-13.497691593143388,25.278048128953937,123.30637262185762,4.34150878521328
4,HAWAII - KILAUEA,0,0.15,s_K208-7 [15983],0.703541,6.398376997,12.27080644,0.7035410919175289,6.39916602715058,12.270656819150627,0.04027164617978912,0.004586310952807444,0.04561774914471861,0.0066252331689178896,4.412529984918961,0.03027115592799394,0.05447649566214463,12.520934000729719,1542.830047820906,8.21119484604935,-1.3562845605293823,6.854910285519968,-19.09017473426969,-12.235264448749724,22.913814667619594,111.77363676103622,6.928903077900198
5,HAWAII - KILAUEA,0,0.15,s_K208-3 [15983],0.703578,6.183797281,11.24529236,0.7035780262281661,6.183801262968226,11.245257942936071,0.04302273988050754,0.003792480355910368,0.04643418393156827,0.008250268979355262,4.26278063902163,0.02047501508126892,0.044107041391150896,12.688631865209345,1531.6080329987094,8.35815310768229,-1.6875089242617964,6.670644183420493,-17.97919526687223,-11.30855108345174,21.178295309506005,103.30776963505028,5.185096632882113
6,HAWAII - KILAUEA,0,0.15,s_S709-5 [15983],0.703558,6.144782787,11.35138002,0.7035580241171653,6.1452958983885395,11.350835858076525,0.037405901411186104,0.003958287621767394,0.04296808962028019,0.0068112394536004855,4.2766558748359635,0.021083466484858947,0.04531463300174543,12.004522662716667,1534.5837879210249,7.734256131650434,-1.3982340171084267,6.336022114542008,-18.273795004181462,-11.937772889639454,22.35668192404979,109.055942051065,5.6234617135593
7,HAWAII - KILAUEA,0,0.15,s_S505-9B [15983],0.703826,4.798782748,10.14905317,0.7038260397420673,4.799670475004364,10.148297082440031,0.04952820061536715,0.005587089754080924,0.057875749258571973,0.008124451381469966,4.316867794702479,0.023117808121780915,0.05381748991987395,15.97174866853095,1544.1958964765286,10.417634866542954,-1.6418350528120724,8.775799813730881,-19.225393751176327,-10.449593937445446,19.569667646944378,95.46088047027915,5.846080830720719
8,HAWAII - KILAUEA,0,0.15,s_K207-16 [15983],0.703608,5.93020307,11.98790601,0.7036080286343208,5.932439529726051,11.981457570043135,0.045260408982421396,0.004934674147239737,0.05071256266293546,0.007485148123145291,4.431191160610972,0.03211099559117114,0.05244448668052065,13.10505756725721,1544.954573694723,9.128261279328383,-1.5241419936404659,7.604119285687917,-19.300502795777575,-11.696383510089658,21.904615560555634,106.85076136692149,6.376662066664247
9,HAWAII - KILAUEA,0,0.15,s_K207-19 [15983],0.703513,6.710492948,11.31601747,0.7035130495563734,6.710395367361559,11.317461557404407,0.0321876585424701,0.0023199756807952584,0.03609052421395634,0.012094577117419143,3.976852744389454,0.014430050185410274,0.034747065972581606,10.267070982410253,1514.5302547906117,6.496294358512141,-2.500657621413101,3.9956367370990398,-16.28849522427056,-12.292858487171518,23.02167495358926,112.29977946576673,4.4403068590176185
